valence,media_slant,agree_t1,agree_certainty_t1,belief_t1,belief_certainty_t1,agree_t2,belief_t2,partisanship,gender,age,education,income,gen_knowledge,immig_knowledge,attitude_immig,involvement,media_trust,agree_diff,belief_diff,bias,hmp_score
Biden,FOX,2,1,2,1,1,1,Republican,2,4,6,6,5,3,3,1.5,1,-1,-1,0,0.5
Biden,Reuter,4,3,5,2,2,2,Democrat,2,4,5,3,5,2,3,3.5,1.6,-2,-3,0,0.5
Biden,FOX,4,2,5,2,5,5,Independent,1,5,5,11,5,2,4,1.5,5,1,0,0.5,NA
Ducey,FOX,1,1,1,1,1,1,Independent,3,4,6,1,4,4,3,5,1.4,0,0,0,NA
Ducey,FOX,7,1,7,1,7,7,Republican,2,7,5,2,5,4,3,5,1.2,0,0,-0.5,1
Biden,MSNBC,5,2,6,2,3,3,Democrat,1,3,5,9,5,2,1.5,1.5,5.4,-2,-3,0.2,0.7
Ducey,MSNBC,7,1,7,1,7,7,Independent,2,5,5,5,5,2,3,5,1,0,0,-0.5,NA
Biden,Reuter,2,1,2,1,2,2,Independent,1,4,6,11,5,2,4,5,1,0,0,-0.2,NA
Ducey,FOX,2,2,3,2,1,1,Democrat,2,5,2,4,5,4,3,4,3.8,-1,-2,0,0.5
Ducey,Reuter,5,3,5,2,5,6,Democrat,1,3,5,11,5,2,2.5,2.5,5,0,1,0.15,0.65
Biden,Reuter,1,1,1,1,1,1,Republican,1,7,6,7,5,3,4.5,4,1,0,0,0,0.5
Biden,Reuter,4,8,6,2,3,3,Independent,2,4,3,11,4,3,4,3,3.4,-1,-3,0,NA
Ducey,Reuter,2,1,2,2,1,1,Independent,2,3,5,2,5,2,3,4.5,3,-1,-1,0,NA
Biden,MSNBC,4,3,4,3,4,4,Democrat,2,3,3,4,5,4,1,4,2,0,0,0.1,0.6
Ducey,Reuter,7,2,6,1,5,6,Republican,2,7,5,5,5,3,3.5,4,3,-2,0,-0.3,0.8
Biden,MSNBC,4,3,5,2,4,4,Democrat,2,3,5,5,3,3,2.5,2.5,4.6,0,-1,0.1,0.6
Ducey,Reuter,4,3,5,2,2,2,Democrat,2,3,5,6,2,4,3,4,4.4,-2,-3,0.4,0.9
Ducey,Reuter,3,3,5,2,2,3,Democrat,2,3,4,6,5,4,3.5,2,4.6,-1,-2,0.2,0.7
Ducey,MSNBC,4,8,4,8,1,1,Independent,1,3,5,11,4,4,3,1,2.2,-3,-3,0.1,NA
Biden,Reuter,6,2,5,2,5,3,Democrat,1,3,4,8,3,1,3.5,3,4.2,-1,-2,0.1,0.6
Biden,Reuter,6,1,5,2,2,2,Democrat,2,3,5,5,4,0,4,2,5.2,-4,-3,0,0.5
Biden,MSNBC,3,2,2,2,1,1,Republican,2,3,4,8,4,3,3,3,2.4,-2,-1,0.3,0.19999999999999996
Biden,FOX,2,1,3,1,6,3,Democrat,2,6,4,9,5,2,3.5,4,5.6,4,0,0.3,0.8
Ducey,Reuter,5,3,3,3,6,5,Democrat,1,3,3,6,5,1,3,1.5,4.6,1,2,-0.25,0.25
Ducey,Reuter,2,2,5,2,2,1,Independent,1,5,5,6,5,0,4,1,3.8,0,-4,0.1,NA
Ducey,MSNBC,2,3,3,2,1,1,Democrat,2,3,4,5,4,1,3,2.5,3,-1,-2,0,0.5
Biden,MSNBC,6,2,6,2,3,3,Democrat,2,5,2,2,5,2,3,2,5.8,-3,-3,-0.15,0.35
Ducey,FOX,4,8,4,8,1,1,Independent,1,3,5,8,3,2,3,4,1,-3,-3,0,NA
Biden,MSNBC,2,2,3,2,2,2,Independent,1,5,3,9,4,2,3,3,1.4,0,-1,-0.4,NA
Ducey,FOX,1,2,1,2,1,2,Democrat,1,3,5,8,5,4,1,4.5,5,0,1,0,0.5
Biden,FOX,5,8,5,3,4,3,Democrat,1,3,6,7,5,4,1,2.5,3.8,-1,-2,0.25,0.75
