valence,media_slant,agree_t1,agree_certainty_t1,belief_t1,belief_certainty_t1,agree_t2,belief_t2,page_submit_duration,partisanship,gender,age,education,income,gen_knowledge,immig_knowledge,attitude_immig,involvement,media_trust,agree_diff,belief_diff,bias,hmp_score
Ducey,FOX,7,2,6,2,3,3,80.22,Republican,1,7,6,6,4,3,1.5,4.5,1,-4,-3,0,0.5
Ducey,Reuter,6,1,5,1,4,2,72.39,Republican,1,3,5,2,5,2,3,4,1.8,-2,-3,-0.35,0.85
Biden,FOX,3,3,5,2,1,1,62.342,Republican,1,3,5,11,3,1,3,4,5,-2,-4,0,0.5
Biden,FOX,6,2,6,2,3,3,72.58,Democrat,1,5,3,11,5,3,3,2,5.2,-3,-3,0.3,0.8
Biden,MSNBC,3,2,2,2,2,2,66.766,Republican,2,4,5,5,5,3,3,5,2,-1,0,0,0.5
Biden,Reuter,6,1,6,2,3,3,67.499,Democrat,1,4,5,10,5,4,2,3.5,5,-3,-3,0.1,0.6
Ducey,Reuter,2,2,2,2,1,1,63.979,Democrat,1,6,3,3,5,4,1.5,2,4.6,-1,-1,0,0.5
Ducey,MSNBC,2,2,2,2,1,1,62.487,Democrat,2,4,4,6,5,1,4,1,2.8,-1,-1,-0.25,0.25
Ducey,Reuter,1,2,1,2,1,1,119.726,Democrat,1,4,5,8,5,2,3.5,3,2.2,0,0,0,0.5
Biden,Reuter,5,2,5,2,3,5,150.625,Democrat,2,4,6,9,5,3,3.5,2.5,4.2,-2,0,0,0.5
Biden,Reuter,5,2,5,2,5,5,62.761,Republican,1,3,4,4,3,3,2.5,3,4.4,0,0,0.1,0.4
Biden,FOX,6,2,2,4,2,2,63.491,Democrat,1,4,5,11,5,3,1,1,4.8,-4,0,0,0.5
Biden,Reuter,6,3,6,3,2,3,75.76,Democrat,1,3,5,2,5,3,1,3,5,-4,-3,0,0.5
Ducey,MSNBC,2,2,2,2,1,1,62.042,Democrat,1,3,4,7,5,4,3,2,4,-1,-1,-0.1,0.4
Ducey,MSNBC,1,1,1,1,3,3,78.314,Democrat,1,3,2,1,4,5,4,2,2.6,2,2,0,0.5
Ducey,Reuter,4,4,5,3,3,2,74.681,Democrat,1,3,6,6,5,3,4,2,2,-1,-3,0,0.5
Ducey,FOX,4,2,5,2,5,6,130.892,Democrat,2,4,6,7,3,4,2.5,3.5,5,1,1,0.35,0.85
Biden,MSNBC,6,1,7,1,2,3,214.577,Democrat,1,3,5,6,5,4,3,5,6.8,-4,-4,0,0.5
Biden,MSNBC,5,2,4,2,5,5,62.166,Democrat,1,4,2,6,2,2,3.5,3,4,0,1,0,0.5
Ducey,MSNBC,7,1,7,1,6,6,101.007,Republican,2,6,3,4,5,3,3,4,1,-1,-1,-0.15,0.65
Biden,FOX,5,4,4,4,3,4,91.952,Democrat,2,4,4,7,5,3,3,4.5,5,-2,0,0.15,0.65
Biden,Reuter,6,2,5,2,6,6,410.731,Independent,2,3,3,3,4,4,3,3.5,2,0,1,0,NA
Ducey,Reuter,7,2,6,2,3,1,73.19,Democrat,2,4,4,5,5,0,2.5,3.5,5,-4,-5,-0.2,0.3
Ducey,FOX,2,2,5,3,2,2,62.623,Independent,1,3,6,4,5,1,3,1,3,0,-3,0,NA
Ducey,FOX,6,2,7,3,2,2,69.158,Democrat,2,4,6,3,3,4,4,3,6,-4,-5,0,0.5
Biden,FOX,4,2,4,2,1,1,75.595,Democrat,1,3,5,7,5,0,2.5,2.5,3.8,-3,-3,0.1,0.6
Biden,MSNBC,5,3,4,3,3,3,84.367,Democrat,1,4,5,11,3,1,2.5,2,3.2,-2,-1,0,0.5
Biden,MSNBC,1,1,2,2,1,2,141.214,Democrat,2,4,2,8,5,3,3.5,3.5,4.4,0,0,0.05,0.55
Ducey,MSNBC,2,1,1,1,2,3,92.312,Democrat,1,3,5,11,4,3,2.5,5,6,0,2,0.3,0.8
Ducey,FOX,3,2,2,3,1,2,144.015,Democrat,2,6,4,4,5,3,3.5,2,3,-2,0,0,0.5
Ducey,FOX,3,2,3,4,1,2,85.314,Democrat,1,4,5,11,5,2,2.5,2,4.2,-2,-1,-0.2,0.3
Biden,Reuter,1,1,1,1,1,1,62.294,Republican,1,6,3,5,5,2,5,5,1,0,0,-0.1,0.6
Ducey,Reuter,1,2,4,2,1,1,192.247,Democrat,2,5,5,11,3,3,2,2,3.6,0,-3,0,0.5
Ducey,MSNBC,4,4,4,4,3,3,67.954,Independent,1,5,3,7,4,1,4,2.5,1.4,-1,-1,-0.5,NA
Ducey,Reuter,4,3,4,3,1,1,63.021,Democrat,1,4,5,12,5,3,4,3,3.6,-3,-3,-0.05,0.45
Ducey,MSNBC,7,1,6,1,7,6,63.164,Republican,1,5,3,7,5,3,3.5,5,1,0,0,-0.4,0.9
Biden,Reuter,2,2,3,2,3,5,103.373,Democrat,1,4,4,5,5,1,3,2,5.4,1,2,-0.05,0.45
Ducey,FOX,5,2,4,3,6,5,61.658,Democrat,1,5,5,11,4,3,3,3,5,1,1,0,0.5
Biden,Reuter,4,4,4,4,1,1,61.653,Republican,2,5,5,11,5,3,4,2,4.2,-3,-3,0,0.5
Biden,Reuter,5,2,6,2,3,3,139.514,Democrat,1,3,5,8,4,2,3,3,4.2,-2,-3,0.1,0.6
Ducey,MSNBC,1,1,1,1,1,1,146.664,Democrat,1,5,4,4,5,2,3,3,5.8,0,0,0.25,0.75
Biden,FOX,5,3,5,3,5,5,61.071,Democrat,1,3,5,7,5,2,2.5,3,3,0,0,0.5,1
Ducey,FOX,1,1,1,1,1,1,67.016,Democrat,2,6,5,2,5,4,3,2,3.4,0,0,0.5,1
Biden,MSNBC,6,1,7,1,6,7,114.373,Democrat,1,4,6,8,5,2,1.5,5,6.2,0,0,-0.4,0.09999999999999998
Biden,MSNBC,4,3,3,3,2,3,61.548,Republican,1,4,5,12,5,1,5,1,1.6,-2,0,-0.2,0.7
Ducey,Reuter,4,1,4,1,2,2,63.11,Democrat,2,3,6,10,5,3,3,4,3.2,-2,-2,0,0.5
Ducey,MSNBC,6,1,7,2,1,2,84.811,Democrat,1,3,5,4,0,3,1.5,3,6.2,-5,-5,0.1,0.6
Biden,FOX,6,1,6,2,5,4,76.922,Republican,1,3,4,6,4,2,4,2,3,-1,-2,0.2,0.30000000000000004
Ducey,Reuter,2,2,3,2,1,1,73.635,Independent,1,3,3,4,5,3,3,3,5.4,-1,-2,0,NA
Biden,MSNBC,5,2,7,2,6,2,64.329,Democrat,1,4,4,5,0,3,2.5,4,1.8,1,-5,0.35,0.85
Biden,Reuter,5,1,6,1,6,7,101.085,Republican,2,4,6,5,4,4,1.5,4.5,3.8,1,1,0,0.5
Ducey,FOX,6,1,6,1,7,5,313.803,Republican,2,6,6,8,3,0,1.5,4.5,6,1,-1,0.25,0.25
Biden,MSNBC,3,2,3,2,2,2,65.45,Republican,1,4,2,9,5,2,4,3,3.8,-1,-1,0,0.5
Biden,Reuter,5,3,6,2,5,4,61.354,Democrat,1,6,5,11,5,3,3,4,4.4,0,-2,0,0.5
Biden,FOX,3,4,3,3,2,3,61.982,Democrat,1,7,3,5,5,3,3,2.5,3.4,-1,0,0.25,0.75
Ducey,MSNBC,7,1,7,1,7,7,63.694,Republican,1,6,5,1,5,2,3.5,5,1,0,0,-0.5,1
Biden,FOX,6,2,5,2,6,5,64.57,Democrat,1,3,5,3,5,3,3,2,2.4,0,0,0.5,1
Biden,Reuter,5,2,6,2,7,7,107.512,Democrat,1,3,5,4,5,0,2,2.5,2.4,2,1,0.2,0.7
Ducey,FOX,1,2,4,3,1,1,63.194,Democrat,1,3,4,3,5,3,3,2,4,0,-3,0,0.5
Ducey,Reuter,6,2,5,2,5,3,87.629,Republican,1,6,6,4,5,1,3,1,2.8,-1,-2,-0.1,0.6
Biden,MSNBC,5,3,5,3,3,4,76.439,Democrat,1,3,5,5,3,2,3.5,2,4.6,-2,-1,0.1,0.6
Ducey,Reuter,1,1,1,1,1,1,72.456,Democrat,1,3,5,6,5,2,3,2.5,5,0,0,0,0.5
Biden,FOX,2,1,1,1,1,1,166.163,Republican,2,4,5,7,5,1,3,3,1,-1,0,0,0.5
Ducey,FOX,7,1,6,1,2,2,167.25,Republican,2,7,4,3,5,1,3,4,1,-5,-4,0,0.5
Ducey,Reuter,6,2,6,2,2,1,69.091,Democrat,2,4,3,4,4,2,3,2.5,2.6,-4,-5,0,0.5
Ducey,Reuter,3,4,4,3,1,1,65.962,Independent,1,3,2,8,5,2,1.5,2,2.6,-2,-3,0,NA
Ducey,MSNBC,4,1,5,2,4,5,268.612,Independent,2,5,5,5,5,1,2.5,3,4.6,0,0,0.2,NA
Ducey,MSNBC,6,2,6,2,6,5,92.254,Democrat,1,3,5,2,2,5,1.5,4,4.8,0,-1,0.2,0.7
Biden,Reuter,5,2,6,2,5,5,313.847,Independent,2,3,5,11,5,4,3,3,2.6,0,-1,0.1,NA
Biden,FOX,1,1,1,1,1,1,67.308,Republican,1,5,5,12,5,3,3,5,1,0,0,0,0.5
Biden,MSNBC,7,1,6,1,6,6,75.465,Democrat,2,4,3,6,5,3,1.5,2,4.4,-1,0,0,0.5
Biden,FOX,7,2,6,2,5,5,96.51,Independent,2,4,4,6,5,2,3,2,2.4,-2,-1,0.5,NA
Biden,Reuter,7,1,7,1,6,6,166.914,Republican,2,3,5,6,5,2,1,4,4.4,-1,-1,0,0.5
Biden,MSNBC,6,2,6,3,3,3,72.221,Republican,2,3,5,8,5,2,2.5,3,4.4,-3,-3,-0.1,0.6
Ducey,FOX,3,3,3,3,2,2,61.192,Independent,2,3,5,7,4,2,1,1.5,4.6,-1,-1,0,NA
Biden,MSNBC,1,1,1,1,1,1,167.604,Independent,1,3,3,4,5,2,3.5,3.5,1,0,0,-0.5,NA
Ducey,Reuter,1,1,1,1,1,1,63.743,Independent,1,2,5,6,5,4,4.5,2,1.4,0,0,-0.1,NA
Ducey,FOX,4,2,3,2,2,2,179.168,Independent,1,3,5,10,4,2,3.5,3,2.8,-2,-1,-0.1,NA
Biden,FOX,4,2,4,2,3,3,78.711,Democrat,2,4,5,10,5,2,3,2,4.4,-1,-1,0,0.5
Biden,Reuter,6,1,7,1,2,1,437.864,Democrat,2,3,2,4,3,2,3,4,6.2,-4,-6,-0.25,0.25
Biden,Reuter,4,2,2,2,4,1,70.332,Democrat,2,2,4,4,5,1,4,3,1,0,-1,0.1,0.6
Ducey,FOX,3,2,3,2,1,1,71.033,Democrat,2,3,5,10,4,2,3.5,2.5,4.6,-2,-2,0.1,0.6
Ducey,Reuter,7,2,6,2,2,2,61.38,Republican,1,5,5,9,5,2,4,4,1.8,-5,-4,-0.45,0.95
Biden,MSNBC,4,4,2,4,4,4,61.278,Independent,1,4,3,5,3,3,4,1.5,1,0,2,-0.4,NA
Biden,MSNBC,6,2,6,2,5,5,64.407,Democrat,1,4,5,4,5,2,3,3,4.4,-1,-1,0,0.5
Ducey,MSNBC,5,2,3,2,2,2,90.494,Republican,2,5,5,8,4,2,3,2.5,3.8,-3,-1,0,0.5
Biden,FOX,6,2,7,2,3,3,61.706,Democrat,2,6,7,12,5,2,1,2,6,-3,-4,0.5,1
Biden,MSNBC,1,2,2,2,1,1,61.641,Republican,2,3,3,11,5,2,3.5,2,1.6,0,-1,0,0.5
Biden,MSNBC,7,2,6,2,1,1,91.341,Democrat,2,3,5,5,5,2,4,2,2.2,-6,-5,0,0.5
Ducey,FOX,5,2,4,3,3,3,64.448,Republican,1,5,6,1,4,1,2.5,2,4.6,-2,-1,0,0.5
Biden,MSNBC,4,3,4,3,4,3,86.125,Republican,2,4,5,10,5,2,2,2,2.8,0,-1,0,0.5
Biden,Reuter,5,2,5,2,5,5,88.853,Democrat,1,3,4,4,4,1,3,3,4.2,0,0,0.1,0.6
Ducey,MSNBC,7,2,7,2,7,6,81.264,Independent,1,7,3,11,4,2,2.5,4.5,1,0,-1,-0.5,NA
Ducey,MSNBC,7,1,5,1,5,5,74.591,Republican,2,5,3,7,5,2,3,3,1,-2,0,-0.35,0.85
Biden,Reuter,1,1,2,1,2,2,61.226,Republican,1,7,2,5,5,3,2.5,3,2,1,0,0,0.5
Ducey,Reuter,4,3,4,2,2,1,79.346,Democrat,2,5,2,4,5,3,3,3,1.4,-2,-3,0,0.5
Biden,FOX,5,4,5,3,5,5,73.338,Independent,1,3,4,8,5,2,4,2,3.8,0,0,0.35,NA
Ducey,MSNBC,2,2,2,3,1,2,75.663,Democrat,1,4,5,8,5,3,3,3,4.6,-1,0,0,0.5
Ducey,FOX,2,2,2,2,1,1,90.831,Democrat,2,4,4,11,4,2,3,3,5,-1,-1,0,0.5
Ducey,MSNBC,3,1,3,1,2,6,61.467,Independent,2,3,5,4,5,2,3.5,3.5,1.6,-1,3,-0.3,NA
Biden,MSNBC,4,2,5,2,5,6,149.217,Democrat,1,4,5,4,5,2,2.5,2,4.2,1,1,-0.1,0.4
Biden,FOX,7,1,7,1,7,7,65.112,Democrat,2,3,5,8,1,3,1,5,6,0,0,0.25,0.75
Ducey,Reuter,5,2,5,2,5,5,65.78,Republican,1,5,5,9,5,2,4,2,2,0,0,-0.3,0.8
Biden,Reuter,5,2,5,2,4,3,81.213,Independent,1,3,5,12,4,3,3.5,3,2.4,-1,-2,0.1,NA
Biden,FOX,4,4,5,3,6,6,119.605,Democrat,1,4,3,4,5,2,1,2.5,1.8,2,1,0.5,1
Biden,FOX,1,2,1,2,1,1,68.163,Independent,1,4,2,2,5,3,4.5,3.5,1.4,0,0,0.1,NA
Ducey,FOX,7,1,7,1,7,7,62.481,Independent,1,6,3,11,5,3,5,5,1,0,0,0,NA
Biden,Reuter,5,3,5,3,3,3,67.573,Democrat,1,6,5,6,5,4,3,3.5,3.8,-2,-2,0,0.5
Ducey,Reuter,6,2,6,1,6,6,68.208,Independent,1,6,3,8,5,2,3,3,2,0,0,-0.3,NA
Ducey,FOX,3,2,4,3,2,3,134.118,Democrat,2,2,5,9,3,2,3.5,2.5,3.8,-1,-1,-0.05,0.45
Ducey,MSNBC,2,2,2,3,1,1,81.17,Democrat,1,3,6,6,5,1,2.5,2.5,3,-1,-1,0,0.5
Biden,MSNBC,3,3,3,3,2,1,73.237,Independent,2,6,5,6,5,2,4,3,3.2,-1,-2,-0.15,NA
Ducey,FOX,2,2,2,1,1,1,103.128,Democrat,2,6,6,4,5,3,1.5,3,3.8,-1,-1,-0.15,0.35
Ducey,MSNBC,3,2,5,2,6,5,62.981,Democrat,1,5,3,8,5,3,3,5,4.4,3,0,0,0.5
Ducey,Reuter,4,1,3,3,1,1,95.912,Democrat,2,4,6,6,5,3,3,3,3,-3,-2,0,0.5
Ducey,FOX,3,2,3,2,2,2,110.137,Democrat,1,4,5,6,5,4,2.5,2.5,5.6,-1,-1,0,0.5
Ducey,Reuter,4,2,3,2,2,2,68.635,Democrat,2,5,6,5,5,2,3,2,2.8,-2,-1,0,0.5
Biden,Reuter,3,2,3,2,2,2,61.939,Republican,2,3,4,5,5,5,3,4,5.4,-1,-1,0.2,0.30000000000000004
Biden,FOX,3,2,3,2,4,4,62.069,Democrat,1,3,5,5,5,3,3,4,4,1,1,0.5,1
Ducey,MSNBC,4,2,2,2,2,2,66.244,Independent,1,4,2,7,5,3,3,3,1.8,-2,0,0,NA
Biden,MSNBC,5,2,5,2,3,3,98.852,Independent,2,5,6,6,3,3,3,5,2,-2,-2,0,NA
Ducey,FOX,2,2,4,3,2,2,64.885,Democrat,1,4,5,5,5,4,4,2.5,2.4,0,-2,0,0.5
Biden,FOX,5,2,5,2,3,2,63.353,Republican,1,2,5,8,2,1,3.5,2,4.2,-2,-3,0.1,0.4
Ducey,Reuter,3,2,5,2,3,5,62.208,Independent,1,3,5,6,5,2,3,3.5,1,0,0,-0.5,NA
Biden,Reuter,4,3,4,2,6,5,139.654,Independent,1,2,5,6,5,4,3,3,2.2,2,1,0.25,NA
Biden,FOX,5,3,6,2,5,5,62.113,Democrat,1,4,3,12,5,4,3.5,4,3.6,0,-1,0.3,0.8
Biden,MSNBC,7,1,7,1,7,7,66.909,Democrat,2,4,5,6,2,2,1.5,5,5.8,0,0,-0.5,0
Biden,Reuter,4,3,5,2,4,3,88.874,Democrat,2,5,5,4,5,3,4.5,3.5,3.6,0,-2,0,0.5
Ducey,MSNBC,3,3,3,3,1,1,97.834,Democrat,2,6,5,10,5,3,3.5,3.5,2.8,-2,-2,0,0.5
Ducey,FOX,5,2,5,2,5,5,126.568,Republican,2,7,3,3,4,2,2.5,4,5,0,0,0,0.5
Ducey,Reuter,5,2,4,2,2,2,75.223,Democrat,1,3,5,8,2,4,2.5,2,5.2,-3,-2,0,0.5
Biden,Reuter,4,4,4,2,2,2,91.259,Democrat,2,3,5,5,5,3,3,5,5.2,-2,-2,0,0.5
Biden,FOX,4,2,4,2,4,4,63.703,Democrat,2,4,5,7,5,2,4,1,1,0,0,0.5,1
Ducey,MSNBC,4,2,3,2,3,4,66.525,Republican,1,5,6,12,5,2,3.5,3.5,4.6,-1,1,0,0.5
Ducey,MSNBC,2,2,3,3,1,1,63.879,Democrat,2,3,2,5,3,3,3,3.5,3.4,-1,-2,0,0.5
Biden,FOX,6,2,6,2,6,6,203.027,Republican,1,4,5,5,4,4,4,2,5,0,0,0.15,0.35
Ducey,FOX,4,2,4,3,3,3,97.177,Independent,2,3,5,6,4,2,3.5,2.5,3.2,-1,-1,0.1,NA
Ducey,FOX,2,2,2,2,1,2,100.71,Democrat,1,4,4,5,5,1,4,3,3.6,-1,0,0.2,0.7
Biden,MSNBC,4,2,6,2,6,6,65.726,Democrat,1,4,5,9,5,3,3.5,3,3.8,2,0,0,0.5
Ducey,Reuter,5,3,5,3,5,3,81.852,Republican,1,7,3,5,5,2,4,3.5,2.4,0,-2,-0.2,0.7
Biden,MSNBC,7,2,7,1,5,3,61.969,Democrat,1,6,1,4,5,4,4.5,3,5.4,-2,-4,0,0.5
Ducey,Reuter,2,1,2,2,1,1,62.314,Democrat,2,3,6,6,5,3,3,5,5,-1,-1,0,0.5
Biden,Reuter,6,2,6,2,2,2,64.169,Democrat,2,5,3,8,5,2,4,3,5.2,-4,-4,0,0.5
Biden,FOX,4,2,6,2,6,6,70.133,Independent,2,3,5,8,5,3,3,3,3.6,2,0,0.3,NA
Biden,Reuter,4,1,6,1,6,5,62.222,Independent,1,3,5,11,5,2,4,5,4.2,2,-1,0,NA
Ducey,FOX,4,3,4,2,4,4,88.012,Republican,1,3,3,11,5,3,5,5,1,0,0,0,0.5
Biden,FOX,3,1,5,2,7,3,99.052,Republican,2,5,3,7,5,1,5,3,2.2,4,-2,0.1,0.4
Biden,Reuter,3,3,3,3,2,2,114.359,Republican,2,6,5,12,5,4,4,4,4.6,-1,-1,0.2,0.30000000000000004
Ducey,FOX,2,4,2,3,1,1,61.595,Democrat,2,5,4,4,4,3,1.5,2.5,2.4,-1,-1,0,0.5
Biden,FOX,5,2,6,3,2,3,76.965,Independent,1,4,6,10,4,2,2.5,3.5,3.6,-3,-3,0.3,NA
Biden,MSNBC,6,1,6,2,2,2,61.926,Democrat,1,3,2,5,5,3,3,2.5,4,-4,-4,-0.35,0.15000000000000002
Ducey,MSNBC,1,1,1,1,1,1,63.625,Democrat,2,4,5,5,5,3,3,2.5,6,0,0,0,0.5
Ducey,MSNBC,6,2,5,3,6,3,61.693,Republican,2,3,5,5,5,4,3,4.5,1.6,0,-2,-0.4,0.9
Ducey,Reuter,4,2,5,2,6,6,66.291,Democrat,1,4,5,6,3,3,2.5,3.5,4.2,2,1,0.3,0.8
Ducey,MSNBC,2,3,4,3,1,1,63.794,Independent,2,4,4,2,5,4,1,3,3.4,-1,-3,0,NA
Biden,Reuter,6,2,6,2,5,5,70.64,Democrat,2,5,5,11,5,4,5,2,5.8,-1,-1,0,0.5
Biden,MSNBC,6,2,6,1,6,6,128.318,Democrat,2,4,5,5,4,3,3,4,5.8,0,0,0,0.5
Biden,FOX,5,2,6,2,2,2,69.647,Democrat,2,2,3,12,5,2,2.5,2,5,-3,-4,0,0.5
Ducey,FOX,2,2,2,2,2,1,247.908,Democrat,2,7,4,6,5,4,4,3.5,6,0,-1,0,0.5
Biden,Reuter,7,1,7,1,3,3,63.726,Independent,1,3,5,5,5,3,5,2.5,6,-4,-4,0,NA
Biden,FOX,5,3,6,2,6,6,60.98,Democrat,1,6,6,11,5,2,3,2,5,1,0,0.5,1
Biden,MSNBC,1,1,1,1,1,2,61.935,Independent,1,4,5,2,5,3,3,4,1,0,1,-0.5,NA
Biden,Reuter,7,1,7,1,4,4,61.544,Democrat,1,3,5,4,5,1,3.5,2,6,-3,-3,0,0.5
Biden,MSNBC,7,2,6,1,7,7,66.017,Democrat,2,7,5,5,5,3,3.5,3,2.8,0,1,0.1,0.6
Ducey,FOX,2,2,3,2,2,2,61.168,Democrat,1,4,5,8,5,2,3,2,4.8,0,-1,0,0.5
Ducey,FOX,3,3,3,3,3,1,92.77,Independent,1,3,5,4,5,3,2.5,1,2,0,-2,-0.1,NA
Ducey,MSNBC,2,2,3,3,1,2,109.709,Democrat,2,3,5,10,5,1,3.5,2,4.2,-1,-1,0.25,0.75
Biden,Reuter,4,4,4,4,4,3,87.981,Independent,2,4,4,6,4,3,2.5,3,1,0,-1,0.2,NA
Biden,FOX,5,3,5,2,3,3,83.076,Independent,2,7,5,5,5,2,1,4.5,5,-2,-2,0.35,NA
Ducey,Reuter,7,1,7,1,7,7,135.628,Independent,2,4,3,6,4,2,2.5,5,1.2,0,0,-0.5,NA
Ducey,MSNBC,4,2,5,2,5,5,62.502,Independent,1,3,5,1,3,4,3,3.5,4.4,1,0,0.05,NA
Biden,MSNBC,1,1,1,1,7,7,66.12,Republican,2,4,5,8,5,1,5,5,4,6,6,0,0.5
Ducey,Reuter,6,2,5,1,7,5,149.484,Republican,1,3,4,11,5,3,3.5,4,1.8,1,0,-0.5,1
Biden,MSNBC,4,1,4,1,1,1,65.493,Democrat,2,4,5,4,5,2,3,5,2.8,-3,-3,0,0.5
Biden,Reuter,6,2,6,2,5,5,85.043,Democrat,2,3,4,3,4,2,4,4,6,-1,-1,0,0.5
Biden,FOX,5,1,6,1,3,6,149.449,Democrat,2,6,5,3,5,2,3,3,5.8,-2,0,0,0.5
Ducey,Reuter,3,2,3,2,3,3,61.315,Democrat,2,3,3,6,4,3,1,1,5,0,0,0.45,0.95
Ducey,Reuter,6,1,6,2,6,6,108.256,Republican,1,3,2,4,4,3,2.5,2.5,6,0,0,0.2,0.30000000000000004
Ducey,MSNBC,4,3,2,2,1,1,61.521,Democrat,2,2,3,6,2,3,1.5,2.5,2.4,-3,-1,0.1,0.6
Biden,Reuter,7,1,7,1,7,7,63.195,Republican,2,6,3,6,3,3,5,2,2.8,0,0,-0.5,1
Biden,FOX,2,1,1,1,1,1,75.073,Republican,1,2,5,8,5,2,5,4.5,1,-1,0,0.2,0.30000000000000004
Ducey,FOX,1,1,2,1,1,1,74.847,Democrat,1,6,3,8,5,2,3,3,3.4,0,-1,0,0.5
Biden,MSNBC,4,4,4,4,3,4,61.725,Independent,1,4,5,3,4,1,3,2,1,-1,0,0,NA
Ducey,Reuter,3,2,5,2,2,2,78.436,Independent,1,4,4,2,5,2,3,2,2.4,-1,-3,-0.1,NA
Ducey,FOX,2,1,3,1,2,2,62.806,Republican,2,4,6,11,4,2,4,2,4,0,-1,-0.1,0.6
Biden,Reuter,7,1,7,1,7,7,72.449,Democrat,1,4,6,7,5,4,3.5,2,6,0,0,0.5,1
Ducey,FOX,7,1,4,1,4,5,61.672,Independent,1,6,6,1,5,2,3,3.5,1,-3,1,0,NA
Biden,MSNBC,1,1,1,1,1,1,90.307,Republican,1,3,3,3,5,2,4.5,5,1,0,0,0,0.5
Biden,FOX,5,3,5,3,4,5,61.692,Independent,1,5,4,7,5,3,3,2.5,3,-1,0,0.25,NA
Biden,FOX,4,2,4,2,4,4,135.576,Democrat,2,3,5,4,4,3,2.5,1,4,0,0,0,0.5
Ducey,MSNBC,1,1,1,1,1,1,61.474,Independent,2,6,4,11,5,3,2.5,2,3.2,0,0,0,NA
Ducey,Reuter,2,1,1,2,2,2,61.23,Democrat,2,6,6,9,5,2,3,2,3,0,1,-0.1,0.4
Biden,MSNBC,6,2,6,2,6,5,63.36,Democrat,2,4,4,9,5,4,3,2,5.4,0,-1,0,0.5
Ducey,MSNBC,6,2,5,2,6,5,97.034,Republican,2,5,3,12,5,3,3.5,3.5,1.4,0,0,-0.5,1
Ducey,FOX,2,1,2,2,1,1,65.165,Democrat,2,3,3,9,4,3,3.5,1.5,2.4,-1,-1,0,0.5
Biden,MSNBC,3,3,3,3,2,6,67.902,Republican,2,5,5,7,5,3,3.5,1.5,3.4,-1,3,0.1,0.4
Ducey,FOX,3,3,3,3,3,4,80.553,Independent,2,7,2,2,2,2,2.5,2,4.2,0,1,0,NA
Biden,FOX,5,2,6,2,6,6,73.639,Republican,1,3,2,2,2,3,2.5,2.5,5.6,1,0,0,0.5
Biden,Reuter,7,2,6,2,5,5,62.376,Independent,2,6,5,9,5,3,1,1,5.4,-2,-1,0.3,NA
Biden,MSNBC,5,2,5,2,4,5,61.212,Democrat,1,4,5,10,4,4,1.5,3,3.4,-1,0,0.05,0.55
Biden,MSNBC,6,2,6,2,5,5,67.201,Independent,1,4,5,7,5,3,3.5,2,5.8,-1,-1,0,NA
Ducey,MSNBC,3,3,2,3,1,1,182.901,Democrat,1,3,5,11,5,3,3,1,3,-2,-1,0,0.5
Ducey,Reuter,1,1,1,1,1,1,63.303,Democrat,1,6,5,6,5,3,4,2,3.8,0,0,0,0.5
Biden,Reuter,5,2,5,2,5,4,74.962,Democrat,2,5,3,10,4,4,3,4.5,5.6,0,-1,-0.3,0.2
Ducey,Reuter,2,1,3,1,2,3,74.661,Independent,2,6,5,5,5,2,3.5,2,3,0,0,0,NA
Ducey,MSNBC,3,2,3,2,4,4,65.263,Democrat,2,3,2,1,2,3,3,2,4,1,1,0,0.5
Biden,FOX,5,3,6,3,3,3,62.913,Independent,1,3,6,11,5,3,3,2.5,2.2,-2,-3,0.2,NA
Biden,Reuter,3,2,3,2,3,2,62,Republican,1,5,6,11,5,1,2,3,3.8,0,-1,0,0.5
Ducey,Reuter,2,2,3,2,2,1,64.455,Independent,1,4,5,1,5,3,3,1.5,3.2,0,-2,0,NA
Ducey,MSNBC,6,2,6,1,6,6,68.18,Republican,1,5,3,6,5,2,3.5,1.5,1,0,0,-0.5,1
Biden,FOX,4,1,5,2,5,5,70.578,Independent,1,5,4,8,5,3,4,2,2.2,1,0,0.05,NA
Ducey,FOX,2,2,2,2,2,2,102.444,Democrat,1,5,5,11,5,3,3.5,2.5,6,0,0,0,0.5
Ducey,FOX,2,2,2,2,1,1,69.636,Independent,2,3,5,6,2,3,3,1,2,-1,-1,0,NA
Biden,Reuter,6,2,6,2,5,5,65.963,Democrat,1,4,6,7,5,3,3.5,1,4.4,-1,-1,0,0.5
Biden,MSNBC,5,3,5,2,2,1,68.499,Independent,1,3,5,1,5,3,2.5,2,3,-3,-4,0,NA
Biden,FOX,4,1,3,4,2,3,62.721,Democrat,2,4,6,8,5,2,3.5,4,4,-2,0,0,0.5
Ducey,Reuter,5,2,5,2,5,5,83.625,Independent,1,3,2,1,5,3,3,4,3,0,0,-0.35,NA
Ducey,MSNBC,7,1,6,1,6,6,98.896,Independent,2,5,6,5,5,3,3,4,1,-1,0,-0.5,NA
Ducey,Reuter,1,1,2,1,1,1,64.409,Democrat,2,5,5,3,4,3,3.5,2,5.2,0,-1,0,0.5
Ducey,MSNBC,6,2,5,2,5,5,72.644,Republican,2,5,6,11,5,2,4,5,2.2,-1,0,-0.5,1
Biden,MSNBC,5,2,5,2,2,1,62.873,Democrat,2,3,5,3,5,4,3,2,2,-3,-4,0,0.5
