valence,media_slant,agree_t1,agree_certainty_t1,belief_t1,belief_certainty_t1,agree_t2,belief_t2,page_submit_duration,partisanship,gender,age,education,income,gen_knowledge,immig_knowledge,attitude_immig,involvement,media_trust,agree_diff,belief_diff,bias,hmp_score
Ducey,Reuter,3,2,3,2,1,3,90.269,Independent,1,6,5,6,5,3,2.5,3.5,2.6,-2,0,-0.1,NA
Biden,FOX,2,2,3,2,2,2,83.714,Independent,2,4,3,8,5,3,3.5,2.5,2,0,-1,0.1,NA
Biden,Reuter,5,2,5,2,3,3,109.411,Independent,2,5,6,11,5,1,3,4,2.4,-2,-2,0.2,NA
Ducey,FOX,5,2,5,3,3,3,80.275,Republican,2,4,6,12,5,2,4,2,2.8,-2,-2,0,0.5
Biden,MSNBC,4,2,5,2,4,5,86.393,Republican,1,5,6,10,1,1,3,3.5,4.4,0,0,0.25,0.25
Ducey,MSNBC,5,2,5,2,2,2,69.492,Independent,1,3,4,9,5,1,3,2,1,-3,-3,-0.25,NA
Biden,FOX,3,3,4,3,5,6,64.601,Republican,1,6,2,1,5,3,3,1,5.6,2,2,0.1,0.4
Ducey,MSNBC,3,2,3,2,3,3,63.769,Republican,1,5,5,12,4,4,3,5,1,0,0,-0.3,0.8
Biden,MSNBC,7,2,6,1,1,1,137.748,Independent,2,6,5,7,5,3,1.5,1,2.6,-6,-5,-0.3,NA
Biden,Reuter,5,3,6,3,2,2,84.815,Independent,1,4,5,10,5,2,4,3,2.6,-3,-4,-0.1,NA
Biden,FOX,2,2,3,2,2,2,152.617,Independent,2,6,2,5,5,3,3.5,4,1.4,0,-1,0,NA
Ducey,Reuter,6,2,5,2,6,6,80.295,Republican,1,4,3,5,5,3,3.5,4,1,0,1,-0.5,1
Ducey,Reuter,2,2,3,1,1,2,69.89,Independent,1,3,5,5,4,4,2.5,3,4,-1,-1,-0.1,NA
Biden,Reuter,4,1,4,1,2,2,68.961,Republican,2,4,6,11,5,2,3.5,1,2.8,-2,-2,0,0.5
Biden,FOX,1,1,4,1,1,1,1097.58,Republican,2,4,6,6,4,3,3,3.5,4.6,0,-3,0.05,0.44999999999999996
Biden,FOX,2,2,2,2,2,2,83.421,Republican,2,7,5,10,4,3,4,4,1.2,0,0,0,0.5
Ducey,FOX,7,1,6,1,7,6,224.033,Republican,1,3,5,10,5,3,3,3,1,0,0,0.2,0.30000000000000004
Ducey,Reuter,7,1,5,2,7,5,83.606,Republican,2,5,3,4,4,2,2.5,3,1,0,0,0,0.5
Ducey,MSNBC,5,3,5,3,5,3,61.693,Independent,1,4,6,11,4,3,1,4,1.6,0,-2,-0.4,NA
Biden,MSNBC,3,2,5,1,2,1,297.723,Republican,2,7,2,4,5,2,3,5,1.2,-1,-4,-0.3,0.8
Ducey,MSNBC,7,1,7,1,7,6,87.687,Republican,2,7,6,5,5,3,4.5,5,1.6,0,-1,-0.4,0.9
Ducey,Reuter,5,2,6,2,3,5,82.064,Republican,1,3,5,11,3,4,4,3,2.8,-2,-1,-0.3,0.8
Biden,MSNBC,1,1,1,1,1,1,89.672,Republican,1,6,4,3,5,2,4,3,1.6,0,0,0,0.5
Biden,MSNBC,2,1,2,1,1,1,62.036,Independent,1,6,5,8,5,2,3,5,1,-1,-1,-0.15,NA
Ducey,FOX,5,2,3,2,2,3,72.977,Republican,2,4,5,10,5,3,4,4,2.2,-3,0,0.1,0.4
Biden,Reuter,3,2,3,2,2,2,61.154,Republican,2,6,6,11,4,3,4,2,3,-1,-1,0.35,0.15000000000000002
